,Tarih,TP_TUFE1YI_T1
0,2022-1,1129.03
1,2022-2,1210.6
2,2022-3,1321.9
3,2022-4,1423.27
4,2022-5,1548.01
5,2022-6,1652.75
6,2022-7,1738.21
7,2022-8,1780.05
8,2022-9,1865.09
9,2022-10,2011.13
10,2022-11,2026.08
11,2022-12,2021.19
12,2023-1,2105.17
13,2023-2,2138.04
14,2023-3,2147.44
15,2023-4,2164.94
16,2023-5,2179.02
17,2023-6,2320.72
18,2023-7,2511.75
19,2023-8,2659.6
20,2023-9,2749.98
21,2023-10,2803.29
22,2023-11,2882.04
23,2023-12,2915.02
24,2024-1,3035.59
25,2024-2,3149.03
26,2024-3,3252.79
27,2024-4,3369.98
28,2024-5,3435.96
29,2024-6,3483.25
30,2024-7,3550.88
31,2024-8,3610.51
32,2024-9,3659.84
33,2024-10,3707.1
34,2024-11,3731.43
35,2024-12,3746.52
36,2025-1,3861.33
37,2025-2,3943.01
38,2025-3,4017.3
39,2025-4,4128.19
